Sr.No,Laptop Name,Prices,Rating,Product Link
0,Dell Inspiron 7400 14-inch FHD Touch Laptop (11th Gen i5-1135G7/8GB/512GB SSD/2GB Graphics/Win 10 + MS Office/Silver),"₹ 1,12,000.00",Previous page of related Sponsored Products,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0970699C4ZQ2EHHDY6F&url=%2FDell-Inspiron-14-inch-i5-1135G7-Graphics%2Fdp%2FB08MQ4CVQF%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DLaptops%26qid%3D1616402112%26sr%3D8-1-spons%26psc%3D1&qualifier=1616402112&id=4894709955677711&widgetName=sp_atf
1,"Lenovo Yoga 9i 11th Gen Intel Core i7 14-inch 4K Ultra HD IPS 2-in-1 Touchscreen Laptop (16GB/1TB SSD/Windows 10/MS Office 2019/Fingerprint Reader/Shadow Black/Leather Surface/1.44Kg), 82BG005JIN","₹ 2,37,890.00",Previous page of related Sponsored Products,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08700012INNUC3OR8Q3U&url=%2FLenovo-14-inch-Touchscreen-Fingerprint-82BG005JIN%2Fdp%2FB08P3MLZFM%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DLaptops%26qid%3D1616402112%26sr%3D8-2-spons%26psc%3D1&qualifier=1616402112&id=4894709955677711&widgetName=sp_atf
2,"AVITA Essential NE14A2INC433-CR 14-inch Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Concrete Grey","₹ 23,290.00",4.0 out of 5 stars,https://www.amazon.in/AVITA-Essential-NE14A2INC433-CR-Integrated-Graphics/dp/B08DDYYZ3G/ref=sr_1_3?dchild=1&keywords=Laptops&qid=1616402112&sr=8-3
3,"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6-inch HD Thin and Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.7Kg), 81WQ003LIN","₹ 30,690.00",3.6 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-15-6-inch-Platinum-81WQ003LIN/dp/B08TQQ4ZHM/ref=sr_1_4?dchild=1&keywords=Laptops&qid=1616402112&sr=8-4
4,"ASUS VivoBook 14 (2020) Intel Quad Core Pentium Silver N5030, 14-inch FHD Thin and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Transparent Silver/1.5 Kg), X415MA-EK101T","₹ 31,990.00",5.0 out of 5 stars,https://www.amazon.in/ASUS-Pentium-Silver-N5030-Integrated-Transparent-X415MA-EK101T/dp/B08PQVMPKS/ref=sr_1_5?dchild=1&keywords=Laptops&qid=1616402112&sr=8-5
5,"HP 15s Thin and Light Laptop (Intel Celeron N4020/4GB/1TB HDD/Windows 10 Home), du1044tu","₹ 27,208.00",3.8 out of 5 stars,https://www.amazon.in/HP-Laptop-Celeron-Windows-du1044tu/dp/B08D6M1Y6D/ref=sr_1_6?dchild=1&keywords=Laptops&qid=1616402112&sr=8-6
6,"Lenovo Ideapad S145 AMD A6-9225 15.6 inch HD Thin and Light Laptop (4GB/1TB/Windows 10/Grey/1.85Kg), 81N30063IN","₹ 30,690.00",3.3 out of 5 stars,https://www.amazon.in/Lenovo-Ideapad-A6-9225-Windows-81N30063IN/dp/B081Z4H8BM/ref=sr_1_7?dchild=1&keywords=Laptops&qid=1616402112&sr=8-7
7,"HP 14 Ultra Thin & Light 14-inch Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU","₹ 42,103.00",4.1 out of 5 stars,https://www.amazon.in/HP-14-inch-Laptop-i3-1005G1-14s-cf3074TU/dp/B08G24RGKS/ref=sr_1_8?dchild=1&keywords=Laptops&qid=1616402112&sr=8-8
8,"Lenovo Ideapad S145 10th Gen Intel Core i3 15.6 inch FHD Thin and Light Laptop (4GB/1TB HDD/Windows/Platinum Grey/1.85Kg), 81W800SAIN","₹ 39,390.00",3.4 out of 5 stars,https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81W800SAIN/dp/B08CQ86LZ3/ref=sr_1_9?dchild=1&keywords=Laptops&qid=1616402112&sr=8-9
9,"AVITA Magus Lite NS12T5IN006P 12.2-inch Laptop (Apollo Lake Celeron N3350/4GB/64GB SSD/Windows 10 Home/Intel HD 500 Graphics), Charcoal Grey","₹ 19,990.00",2.8 out of 5 stars,https://www.amazon.in/AVITA-NS12T5IN006P-12-2-inch-Graphics-Charcoal/dp/B088261QHP/ref=sr_1_10?dchild=1&keywords=Laptops&qid=1616402112&sr=8-10
